Beach,Transect,Meter,Zone,Crabs,Microplastic.percentage
Zuma,1,1,Dry,Absent,0.125
Zuma,1,2,Dry,Absent,0.05
Zuma,1,3,Dry,Present,0.1
Zuma,1,4,Dry,Present,0.1
Zuma,1,5,Swash,Present,0.05
Zuma,1,6,Swash,Present,0.0125
Zuma,1,7,Swash,Present,0.0375
Zuma,1,8,Swash,Absent,0.025
Zuma,1,9,Swash,Absent,0.05
Zuma,1,10,Swash,Present,0.0625
Zuma,2,1,Dry,Absent,0.0625
Zuma,2,2,Dry,Absent,0.1
Zuma,2,3,Dry,Absent,0.075
Zuma,2,4,Dry,Absent,0.075
Zuma,2,5,Swash,Present,0.05
Zuma,2,6,Swash,Present,0.05
Zuma,2,7,Swash,Absent,0.025
Zuma,2,8,Swash,Present,0.075
Zuma,2,9,Swash,Present,0.0375
Zuma,2,10,Swash,Present,0
Dume,3,1,Dry,Absent,0.0625
Dume,3,2,Dry,Absent,0.025
Dume,3,3,Dry,Absent,0.05
Dume,3,4,Dry,Absent,0.0625
Dume,3,5,Swash,Present,0.0125
Dume,3,6,Swash,Present,0
Dume,3,7,Swash,Present,0.0125
Dume,3,8,Swash,Present,0.0125
Dume,3,9,Swash,Present,0
Dume,3,10,Swash,Present,0.0125
Dume,4,1,Dry,Absent,0.1
Dume,4,2,Dry,Absent,0.0125
Dume,4,3,Dry,Absent,0.0375
Dume,4,4,Dry,Present,0.0125
Dume,4,5,Swash,Present,0.025
Dume,4,6,Swash,Present,0.075
Dume,4,7,Swash,Present,0.025
Dume,4,8,Swash,Absent,0.0375
Dume,4,9,Swash,Present,0.0125
Dume,4,10,Swash,Present,0.0375