Vert. Transect,Sampling Location (m),Small Sand Crab Count,Medium Sand Crab Count,Large Sand Crab Count,Total Sand Crab Count,Microplastic Raw Height (mL),Sand Raw Height (mL),Microplastic Proportion
3,5,0,0,0,0,1.25,20,6.25%
3,4,0,0,0,0,0.5,20,2.50%
3,3,0,0,0,0,1,20,5.00%
3,2,0,0,0,0,1.25,20,6.25%
3,1,10,0,0,10,0.25,20,1.25%
3,-1,13,0,0,13,0,20,0.00%
3,-2,6,0,0,6,0.25,20,1.25%
3,-3,6,3,0,9,0.25,20,1.25%
3,-4,0,0,2,2,0,20,0.00%
3,-5,2,0,0,2,0.25,20,1.25%
4,5,0,0,0,0,2,20,10.00%
4,4,0,0,0,0,0.25,20,1.25%
4,3,0,0,0,0,0.75,20,3.75%
4,2,1,0,0,1,0.25,20,1.25%
4,1,4,1,0,5,0.5,20,2.50%
4,-1,6,0,0,6,1.5,20,7.50%
4,-2,9,1,0,10,0.5,20,2.50%
4,-3,0,0,0,0,0.75,20,3.75%
4,-4,6,1,0,7,0.25,20,1.25%
4,-5,4,0,2,6,0.75,20,3.75%